host_name                                         ,name                ,LAST_FULL_BACKUP_DATE         ,LAST_INCREMENTAL_BACKUP_DATE

aadprddb01.cc.columbia.edu                        ,AADPRD              ,2018-09-26 02:00:20           ,2018-09-24 02:30:11
aclaxdevdb01.cc.columbia.edu                      ,ACLAX1D             ,2018-09-23 00:05:29           ,2018-09-26 00:01:45
aclaxproddb01.cc.columbia.edu                     ,ACLAX1P             ,2018-09-25 15:40:33           ,2018-09-26 00:00:53
advdevdb01.cc.columbia.edu                        ,ADVLP               ,2018-09-24 14:00:22           ,2018-09-26 00:18:56
adveoqdb01.cc.columbia.edu                        ,ADVEOQ              ,2018-09-23 01:41:29           ,2018-09-26 01:24:41
advmcdevdb01.cc.columbia.edu                      ,ADVMC1D             ,2018-09-24 22:22:59           ,2018-09-21 22:33:29
advmcinfdevdb01.cc.columbia.edu                   ,INFA1D              ,2018-09-24 23:21:50           ,2018-09-21 23:30:42
advmcinfproddb01.cc.columbia.edu                  ,INFA1P              ,2018-09-24 17:20:17           ,2018-09-21 17:30:23
advmcinftstdb01.cc.columbia.edu                   ,INFA1T              ,2018-09-24 20:20:18           ,2018-09-21 20:30:30
advmcprddb01.cc.columbia.edu                      ,ADVMC1P             ,2018-09-23 22:26:33           ,2018-09-25 22:22:30
advmctestdb01.cc.columbia.edu                     ,ADVMC1T             ,2018-09-25 23:05:12           ,2018-09-22 23:01:51
advproddb01.cc.columbia.edu                       ,ADVPR               ,2018-09-23 05:48:27           ,2018-09-26 05:15:19
advproddb02.cc.columbia.edu                       ,ADVAUX              ,2018-09-23 01:51:27           ,2018-09-26 01:46:37
advproddb03.cc.columbia.edu                       ,ADVWEB              ,2018-09-23 02:45:46           ,2018-09-26 02:45:26
advstgdb01.cc.columbia.edu                        ,ADVSTG              ,2018-09-24 15:57:37           ,2018-09-26 01:20:48
advtrndb01.cc.columbia.edu                        ,ADVTR               ,2018-09-24 14:58:02           ,2018-09-26 02:14:03
amaranth.cc.columbia.edu                          ,PNCL1T              ,2018-09-23 19:56:15           ,2018-09-25 19:44:41
arccfgdb01.cc.columbia.edu                        ,FN92CFG             ,2018-09-25 05:05:53           ,2018-09-26 05:04:49
arccnvdb01.cc.columbia.edu                        ,FN92CNV             ,2018-09-26 04:44:59           ,2018-09-24 03:35:53
arcdev2db01.cc.columbia.edu                       ,FN92DEV2            ,2018-09-25 05:38:37           ,2018-09-26 03:59:28
arcdevdb01.cc.columbia.edu                        ,FN92DEV             ,2018-09-25 18:34:37           ,2018-09-24 22:10:56
arcdmodb01.cc.columbia.edu                        ,FN92DMO             ,2018-09-25 03:34:00           ,2018-09-26 03:31:54
arcdrpprddb01.cc.columbia.edu                     ,FNDRP1P             ,2018-09-17 00:56:21           ,
arcdrptstdb01.cc.columbia.edu                     ,FNDRP1T             ,2018-09-14 17:52:46           ,2018-09-17 01:13:12
arcprddb01.cc.columbia.edu                        ,FN92PRD             ,2018-09-26 04:44:17           ,2018-09-25 18:12:34
arcprfdb01.cc.columbia.edu                        ,FN92PRF             ,2018-09-21 01:57:32           ,2018-09-24 22:34:23
arcprfrdb01.cc.columbia.edu                       ,FN92PRFR            ,2018-09-25 08:11:19           ,2018-09-26 06:35:36
arcptfdb01.cc.columbia.edu                        ,FN92PTF             ,2018-09-25 04:03:07           ,2018-09-26 04:01:38
arcqna2db01.cc.columbia.edu                       ,FN92QNA2            ,2018-09-25 21:26:05           ,2018-09-24 19:07:17
arcqnadb01.cc.columbia.edu                        ,FN92QNA             ,2018-09-25 21:34:48           ,2018-09-24 19:07:01
arcsnddb01.cc.columbia.edu                        ,FN92SND             ,2018-09-25 03:05:11           ,2018-09-26 03:02:49
arcstg2db01.cc.columbia.edu                       ,FN92STG2            ,2018-09-21 00:06:38           ,2018-09-24 22:33:06
arcstgdb01.cc.columbia.edu                        ,FN92STG             ,2018-09-26 00:33:24           ,2018-09-24 22:48:06
arctrndb01.cc.columbia.edu                        ,FN92TRN             ,2018-09-26 02:48:56           ,2018-09-24 22:35:16
bo1devdb01.cc.columbia.edu                        ,BO1D                ,2018-09-25 22:39:34           ,2018-09-24 22:32:46
bo1predb01.cc.columbia.edu                        ,BO1U                ,2018-09-26 03:43:25           ,2018-09-25 03:16:41
bo1qnadb01.cc.columbia.edu                        ,BO1QNA              ,2018-09-23 22:41:25           ,2018-09-25 22:40:26
bo1testdb01.cc.columbia.edu                       ,BO1T                ,2018-09-25 03:08:01           ,2018-09-26 03:03:18
bodevdb01.cc.columbia.edu                         ,BOD1                ,2018-09-25 22:31:47           ,2018-09-24 22:31:42
bodsdevdb01.cc.columbia.edu                       ,ERREPOD             ,2018-09-25 06:30:39           ,2018-09-26 06:30:23
bodsdevdb02.cc.columbia.edu                       ,ERIREPOD            ,2018-09-25 06:55:54           ,2018-09-26 06:55:11
bodsproddb01.cc.columbia.edu                      ,ERREPOP             ,2018-09-25 04:00:39           ,2018-09-26 04:00:19
bodsproddb02.cc.columbia.edu                      ,ERIREPOP            ,2018-09-25 04:03:47           ,2018-09-26 04:03:17
bodstestcrdb01.cc.columbia.edu                    ,ERREPO1C            ,2018-09-25 05:00:32           ,2018-09-26 05:00:16
bodstestcrdb03.cc.columbia.edu                    ,ERIREPOC            ,2018-09-25 05:15:29           ,2018-09-26 05:15:15
bodstestdb01.cc.columbia.edu                      ,ERREPO1T            ,2018-09-25 05:30:31           ,2018-09-26 05:30:28
bodstestdb02.cc.columbia.edu                      ,ERIREPOT            ,2018-09-25 06:00:29           ,2018-09-26 06:00:15
boprddb01.cc.columbia.edu                         ,BOPRD1              ,2018-09-25 23:51:43           ,2018-09-24 23:51:17
boprddb02.cc.columbia.edu                         ,BOPRD2              ,2018-09-25 23:13:09           ,2018-09-24 23:12:18
boprddb03.cc.columbia.edu                         ,BOPRD3              ,2018-09-24 23:12:59           ,2018-09-25 23:12:23
boprddb04.cc.columbia.edu                         ,BOPRD4              ,2018-09-24 23:33:40           ,2018-09-25 23:32:18
boproddb01.cc.columbia.edu                        ,ERBO1P              ,2018-09-23 18:18:19           ,2018-09-25 18:00:47
